"record_id","PID","obj1","OBJ_AvgPickups","OBJ_AvgNotifs"
10,2002,5,9,1000
13,2005,4.45,NA,NA
15,NA,0,NA,NA
18,2001,10,205,381
22,2004,1,5,30
23,2003,20,20,50
24,3001,7.3,141,129
33,3002,4.43333333333333,138,263
36,NA,4,165,122
38,3004,8.38333333333333,104,173
40,NA,8,20,93
46,NA,15,80,105
47,1002,2,40,40
48,2006,1,62,34
57,1005,0,NA,NA
63,1006,0,NA,NA
75,1018,0,NA,NA
76,1011,0,NA,NA
84,NA,2.98333333333333,207,190
96,1009,0,NA,NA
115,1017,0,NA,NA
116,1003,2.83333333333333,NA,NA
117,2007,0,104,263
126,NA,4,57,50
127,1007,0,NA,NA
132,1014,0,NA,NA
133,1008,0,NA,NA
136,NA,0,NA,NA
145,3003,6.68333333333333,178,148
149,NA,9.35,265,279
153,1004,8,2,25
155,1015,0,NA,NA
160,NA,6,198,242
167,NA,8.11666666666667,196,92
168,NA,0,NA,NA
169,1012,1,57,32
170,2009,0,NA,NA
172,3010,5.31666666666667,95,33
180,1016,0,NA,NA
184,3017,8.08333333333333,3,4
206,3014,4.28333333333333,NA,NA
214,3011,3.15,123,327
218,NA,10,166,169
227,3013,0,1,1
230,3016,9,210,224
237,NA,7.88333333333333,182,294
242,3020,10.2166666666667,117,131
243,3022,5.56666666666667,162,169
248,3015,15.3,80,30
252,3043,3.83333333333333,NA,NA
254,NA,7,100,100
259,NA,7.9,NA,NA
260,3055,3.78333333333333,200,290
264,3044,0,35,70
274,3041,6.08333333333333,121,209
276,3039,4.56666666666667,127,132
285,3050,8.2,263,259
286,3030,15.5833333333333,173,226
287,3023,8.86666666666667,355,131
291,3045,14.2,85,165
300,3032,5.5,268,393
301,3054,5.9,124,173
305,3059,4.76666666666667,134,248
306,3061,4.48333333333333,91,301
309,3053,3.96666666666667,157,87
311,3037,15.05,97,220
320,3046,4.61666666666667,NA,NA
322,3058,4.8,7,55
328,3034,6.26666666666667,208,181
330,3062,1.9,NA,NA
332,3052,4,72,124
334,3031,7.78333333333333,96,212
336,3038,8.03333333333333,104,150
339,1021,0,NA,NA
350,3036,7.55,248,353
360,3029,5.45,91,90
361,3049,5.56666666666667,168,109
362,3024,6.38333333333333,123,144
364,3026,3.38333333333333,4,6
366,3028,8.96666666666667,129,245
370,3027,7.46666666666667,131,479
373,3025,6.4,130,145
379,3048,6.68333333333333,80,105
380,3033,8.95,127,198
384,3040,12.0166666666667,130,90
385,3035,3.1,NA,NA
386,3057,4.5,NA,NA
391,3056,3,117,319
393,1019,0,NA,NA
395,1020,0,NA,NA
398,3064,7.66666666666667,124,161
405,3042,7.76666666666667,89,46
406,3047,4,101,447
407,3051,4.25,158,217
412,3114,4.61666666666667,145,288
415,3063,8.35,117,167
416,3065,6.46666666666667,158,138
419,3074,7.5,NA,NA
420,3068,7.51666666666667,126,219
426,3067,7.1,223,247
430,3066,9.53333333333333,148,361
432,2010,2,0,0
433,3060,3,83,90
436,3071,5.53333333333333,114,156
442,3095,4,83,74
457,3078,5.48333333333333,146,113
458,3088,4,97,86
459,3079,7,160,198
461,3111,4.33333333333333,NA,NA
463,3075,4.56666666666667,182,461
464,3080,4.56666666666667,114,233
470,3082,6.91666666666667,NA,NA
471,3083,4,78,66
472,3087,4,65,192
473,3081,6,111,111
474,3089,7.08333333333333,100,133
487,3084,7.66666666666667,211,381
489,3097,6.76666666666667,108,139
490,3073,3.01666666666667,97,59
493,3085,8,57,84
497,3090,9,99,150
498,3076,5.93333333333333,153,185
500,3069,5.6,209,348
502,3096,6.48333333333333,291,248
503,3110,10.2666666666667,117,162
505,3115,4.71666666666667,126,144
507,1022,2.5,1,1
508,1023,0,NA,NA
509,1024,0,NA,NA
510,1025,0,NA,NA
511,1026,0,NA,NA
512,3093,10.6,NA,NA
515,3103,13.6666666666667,87,139
516,3102,3.93333333333333,104,110
519,3070,7.31666666666667,111,169
520,2011,9,377,143
527,2012,5.28333333333333,151,300
529,2013,4.95,653,150
531,3077,6.13333333333333,101,103
534,3092,2,104,149
536,3072,5,54,88
538,3104,4.01666666666667,151,166
540,3107,6.63333333333333,115,146
541,3106,7.7,288,269
544,3098,5.51666666666667,118,127
546,3117,11.2,NA,NA
547,3119,4.01666666666667,65,84
548,3086,6,147,283
549,2014,8.86666666666667,156,242
551,3094,3.61666666666667,NA,NA
552,3091,8,154,493
555,3099,6.56666666666667,161,173
562,3100,5.56666666666667,132,127
564,3101,4.73333333333333,39,149
569,3105,4.5,60,75
573,3122,3.6,173,185
578,3113,3.85,NA,NA
580,3109,9.3,191,342
582,3112,5.83333333333333,114,125
583,3108,2.55,111,138
588,3121,5,NA,NA
589,3123,4.7,171,96
591,3125,7.46666666666667,130,209
592,3129,9.93333333333333,161,328
599,3118,3.85,74,67
601,3134,4.65,153,205
605,3116,6.06666666666667,291,393
606,3131,5.8,206,74
611,3130,5.61666666666667,92,164
612,3124,3.33333333333333,98,170
613,3128,4.33333333333333,132,164
614,3133,3.56666666666667,NA,NA
616,3120,4.31666666666667,130,327
618,3127,6.01666666666667,132,922
619,3126,3.7,185,62
626,2017,10.85,88,125
629,1028,0,NA,NA
632,2015,6.6,35,6
658,2022,4.5,NA,NA
679,2016,5.45,149,471
685,2019,5.3,98,101
688,1029,0,NA,NA
689,1030,0,NA,NA
694,3132,8.95,150,181
697,3999,0,NA,NA
701,2018,7.5,170,99
704,1027,1.43333333333333,22,19
712,3135,12.5833333333333,138,306
713,3136,6.5,45,97
737,2021,8.83333333333333,83,144
738,2020,15.2666666666667,100,240
758,1031,0,NA,NA
759,2023,15.55,150,493
761,2038,8.91666666666667,124,161
772,1035,0,NA,NA
773,1036,0,NA,NA
774,1032,12.5,NA,NA
779,2024,8.28333333333333,NA,NA
781,1033,3.95,85,79
782,1034,5.5,22,19
784,1999,0,NA,NA
787,2025,0,20,100
793,2027,120.833333333333,NA,NA
795,2028,22.3333333333333,NA,NA
804,2108,7.75,151,54
805,2109,16.2666666666667,14,81
806,1037,0,NA,NA
807,2026,0,NA,NA
811,3137,3.7,130,187
815,3999,7.75,124,12
816,2034,6.65,181,181
819,2029,33.45,NA,NA
821,2030,7.18333333333333,128,220
826,3138,4.95,118,143
835,3141,8.51666666666667,79,57
843,2031,6.58333333333333,214,272
851,1037,8.56666666666667,13,380
852,3139,14.3333333333333,287,335
853,3140,4.38333333333333,128,388
863,1041,5.63333333333333,72,86
867,2033,4.91666666666667,NA,NA
869,2035,9.81666666666667,179,235
876,1051,3.5,30,50
884,2032,10.75,82,83
887,1038,5.33333333333333,78,54
888,1039,7.5,31,40
891,3142,8.1,76,75
902,1040,0,NA,NA
905,1046,0,NA,NA
912,2037,2.56666666666667,78,341
915,1074,0,42,103
923,1048,0,NA,NA
924,2036,7.98333333333333,826,198
935,1044,0,NA,NA
940,1042,0,NA,NA
944,1999,0,NA,NA
950,1045,0,NA,NA
951,3143,8.21666666666667,147,157
952,1043,0,NA,NA
963,2039,13.3,182,312
968,1047,0,NA,NA
975,1050,0,1,1
977,1049,54.35,182,319
981,2040,5.91666666666667,132,110
983,2041,9.01666666666667,126,296
994,2999,0,NA,NA
997,1999,0,NA,NA
1000,NA,0,NA,NA
1001,NA,0,NA,NA
1006,3144,7.31666666666667,186,79
1009,NA,0,NA,NA
1053,2043,0,15,12
1056,2042,4.83333333333333,45,76
1057,3145,8.5,125,200
1065,1066,0,NA,NA
1072,2044,0,NA,NA
1076,2051,7.9,106,185
1078,2046,0,1,1
1083,1055,4.66666666666667,39,35
1084,2045,0,NA,NA
1088,2055,0,NA,NA
1089,1052,5.6,43,39
1093,2045,7.25,147,182
1107,1056,7.11666666666667,86,76
1109,2047,7.56666666666667,96,153
1110,2048,8.75,34,21
1116,1053,0,NA,NA
1117,1054,0,NA,NA
1121,1060,8.5,NA,NA
1122,2067,2.45,96,132
1126,1061,3.75,NA,NA
1129,1058,0,NA,NA
1135,1059,0,NA,NA
1139,3147,6,147,136
1141,2059,2.08333333333333,85,36
1146,1062,0,NA,NA
1147,1057,13.4333333333333,106,114
1165,2049,0,1,1
1171,2060,5.83333333333333,93,152
1172,2061,3.35,66,80
1180,1068,0,NA,NA
1184,3146,8.75,146,266
1194,2050,0,NA,NA
1199,1067,12.9333333333333,66,68
1201,2057,8.86666666666667,30,153
1203,2053,9.16666666666667,135,103
1205,2054,15.7,143,410
1207,1063,0,NA,NA
1208,1064,0,NA,NA
1210,1065,11.2666666666667,59,42
1211,2052,7.13333333333333,123,91
1224,2056,12.1333333333333,90,90
1247,2066,11.8333333333333,94,66
1253,1072,0,NA,NA
1256,2064,4.28333333333333,119,124
1261,2058,0,1,1
1264,1073,0,NA,NA
1278,3153,8.55,145,196
1280,2062,1.66666666666667,93,22
1282,3158,4.25,144,111
1292,3149,4.6,153,169
1325,3154,7.3,76,89
1327,3150,5.91666666666667,5,35
1328,3155,7.8,162,199
1345,2068,10.6833333333333,161,180
1346,2065,7.08333333333333,151,187
1354,3152,6.78333333333333,166,92
1355,3148,7.36666666666667,102,186
1356,1070,0,NA,NA
1362,3151,7.31666666666667,142,129
1366,2078,10.0833333333333,238,256
1369,2079,6.1,106,300
1376,2069,0,100,89
1377,1069,3.93333333333333,53,48
1383,2074,44.85,181,252
1386,1078,0,NA,NA
1388,2073,16.5333333333333,74,40
1390,2076,13.2,63,49
1393,1071,0,NA,NA
1394,2071,0,32,54
1395,2072,1.5,NA,NA
1398,2070,3.21666666666667,96,239
1403,2077,8.08333333333333,132,194
1407,3156,5.41666666666667,205,200
1409,3157,10.8333333333333,343,259
1418,NA,0,NA,NA
1428,2075,19.65,16,19
1434,1075,7.01666666666667,NA,NA
1440,1079,0,NA,NA
1442,1077,0,NA,NA
1443,1076,0,NA,NA
1444,2083,50.8333333333333,50,30
1448,2084,2.73333333333333,124,225
1453,2081,3,206,97
1456,1098,0,NA,NA
1457,1080,7.6,61,142
1462,1112,0,NA,NA
1463,1099,2.33333333333333,NA,NA
1467,1116,2.5,NA,NA
1468,1113,0,NA,NA
1473,1083,0,NA,NA
1474,1084,0,NA,NA
1477,1095,7.75,57,89
1478,2094,6.76666666666667,93,104
1479,NA,0,NA,NA
1484,1103,0,NA,NA
1485,1086,0,1,1
1488,2099,4.65,73,155
1489,1085,4.31666666666667,77,40
1491,1088,0,2,21
1493,1100,0,NA,NA
1494,2093,5.08333333333333,NA,NA
1495,2089,0,NA,NA
1496,1091,0,NA,NA
1497,1090,3.66666666666667,NA,NA
1498,1081,0,NA,NA
1511,1119,0,NA,NA
1512,1121,0,NA,NA
1513,1110,0,NA,NA
1518,1087,0,1,1
1525,1092,0,42,30
1528,2080,0,0,1
1531,2087,13.95,71,169
1537,2086,0,1,1
1538,1089,0,NA,NA
1539,2085,7.26666666666667,101,240
1544,NA,0,NA,NA
1545,2091,4.06666666666667,232,355
1546,2090,5.16666666666667,40,40
1549,2082,7.45,142,530
1553,1123,6.66666666666667,NA,NA
1554,1096,0,NA,NA
1556,1106,0,1,0
1558,2092,14.2666666666667,136,278
1560,1107,5.28333333333333,77,37
1565,1094,0,NA,NA
1567,1082,0,NA,NA
1569,1097,0,NA,NA
1571,2095,0,NA,NA
1572,1093,4.68333333333333,65,43
1574,1105,0,NA,NA
1575,2100,0,NA,NA
1577,1125,12.3333333333333,115,308
1584,2096,6.2,178,256
1596,2097,6.68333333333333,181,286
1598,1101,0,NA,NA
1599,3999,0,NA,NA
1609,1114,0,NA,NA
1610,1104,0,NA,NA
1611,1110,0,NA,NA
1613,2103,7.73333333333333,149,219
1614,1117,11.4833333333333,113,91
1616,1116,0,1,1
1617,1102,0,NA,NA
1620,1108,4.2,111,81
1622,2102,4.61666666666667,57,61
1624,2105,5.18333333333333,111,132
1626,2107,0,39,2
1630,2101,0,NA,NA
1631,1109,4.65,78,38
1632,1111,0,1,1
1634,1122,0,NA,NA
1647,2106,14.0333333333333,123,288
1661,1115,0,NA,NA
1666,2104,0,NA,NA
1671,1118,0,NA,NA
1682,3999,7.65,234,6
1703,1124,0,NA,NA
1708,2110,0,NA,NA
1709,2111,0,NA,NA
1710,NA,0,NA,NA
1754,2113,11.1833333333333,53,26
1764,2122,2.06666666666667,85,32
1765,2111,11.1833333333333,14,11
1780,2123,0,NA,NA
1781,1129,0,1,1
1782,2114,10.8,144,226
1789,1126,10.25,132,96
1806,1128,0,NA,NA
1810,2113,8.9,1000,297
1821,2118,45.1833333333333,390,135
1823,1999,0,NA,NA
1830,2112,0,70,125
1835,2130,0,NA,NA
1837,2115,9.41666666666667,156,458
1839,2116,24.5,1,100
1845,2124,5.38333333333333,NA,NA
1850,2088,7.5,NA,NA
1851,2129,10.65,NA,NA
1853,2120,0,NA,NA
1855,2117,7.75,56,153
1859,2098,0,1,1
1862,2127,9.6,123,278
1867,2119,10.7666666666667,94,88
1870,2121,8.18333333333333,143,111
1877,NA,0,NA,NA
1880,1132,0,NA,NA
1883,2126,7.31666666666667,1000,144
1884,2125,7.56666666666667,4,6
1908,2128,0,NA,NA
1926,1131,0,NA,NA
1927,1130,0,NA,NA
1929,2128,0,NA,NA
1932,NA,0,NA,NA
1944,NA,0,NA,NA
1945,NA,0,NA,NA
1946,NA,0,NA,NA
1947,NA,0,NA,NA
1957,NA,0,NA,NA
