record_id,Wave,Cohort,PID,birth_sex,participant_age,Alerting_Z,Orienting_Z,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,sas_agg.clean.Z,MTES_SocialMediaUse_TimeOnApp.sum,MTES_PhoneChecking.mean,MTES_PublicUpdates.mean,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,MTES_Total_Original.z,SSM,hdprime,ldprime,overall_dprime,average_dti_fa,des_agefirst,years_of_use,Barratt_sum_score,texi_sum_score,texi_z_score,Bar_z
46,1,1,1001,1,10,-0.527723006,1.894587566,0.009945173,-0.383070036,-0.417469409,2.184727087,1.231378486,14,3.666666667,3.5,0.150751764,0.30622732,1.03948456,0.498821215,3.914926788,NA,NA,NA,NA,8,2,15,45,-0.073194828,-0.914329207
47,1,1,1002,2,10,0.438255127,-0.052498605,-0.054103817,-0.773371726,-0.911351832,-1.393863416,-2.285071368,0,2.333333333,0,-1.630689034,-0.505050278,-1.176730834,-1.104156715,-4.783091499,-1.200241023,-1.160700213,-1.180497495,NA,10,0,21,39,-0.593054483,0.927485023
57,1,1,1005,1,8,1.005240782,-0.335943986,-0.006593115,NA,NA,NA,-2.285071368,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,2.930296455,2.544110714,2.648816969,NA,NA,#VALUE!,21,27,-1.632773792,1.848392139
63,1,1,1006,1,8,NA,NA,NA,NA,NA,NA,-1.531546399,3,0.666666667,0,-1.248951721,-1.519147276,-1.176730834,-1.314943277,#VALUE!,3.304224074,3.163864863,3.231390261,NA,NA,#VALUE!,18,45,-0.073194828,0.236804687
75,1,1,1018,1,7,0.341298248,-0.71984276,0.712428385,NA,NA,NA,NA,0,0.333333333,0,-1.630689034,-1.721966675,-1.176730834,-1.509795514,#VALUE!,-0.484896494,-1.072548075,-0.765467823,NA,NA,#VALUE!,18,46,0.013448447,-0.223648871
76,1,1,1011,2,12,0.621522264,0.654058638,-0.217581215,NA,NA,NA,-1.02919642,10,0,2,-0.358231322,-1.924786075,0.089677963,-0.731113144,#VALUE!,-1.303646546,-1.505000628,-1.402520773,NA,NA,#VALUE!,18,39,-0.593054483,0.697258245
96,1,1,1009,2,8,NA,NA,NA,NA,NA,NA,2.236078444,9,4.333333333,4,-0.485477093,0.711866119,1.35608676,0.527491929,#VALUE!,3.53867159,2.763979304,3.093736861,NA,NA,#VALUE!,23,44,-0.159838104,0.006577908
115,1,1,1017,1,7,-1.021243567,-0.335213966,0.330189027,NA,NA,NA,NA,3,0.666666667,0,-1.248951721,-1.519147276,-1.176730834,-1.314943277,#VALUE!,1.328629533,0.752902163,1.027609962,NA,4,3,21,35,-0.939627586,0.006577908
116,1,1,1003,2,12,-1.010839969,-0.263097404,0.791590697,NA,NA,-1.164466588,-0.652433936,21,2.333333333,0,1.041472162,-0.505050278,-1.176730834,-0.213436316,-2.03033684,1.555213007,1.15592798,1.346475035,NA,10,2,20,41,-0.419767931,-1.144555986
127,1,1,1007,2,9,-0.051341248,2.113677967,1.668235153,NA,NA,NA,-2.285071368,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,-1.552599446,-0.933872936,-1.199997845,NA,NA,#VALUE!,18,34,-1.026270862,1.157711802
132,1,1,1014,2,9,0.151685875,0.052100212,-0.728646656,NA,NA,NA,-2.285071368,4,0.333333333,0,-1.121705949,-1.721966675,-1.176730834,-1.340134486,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,17,42,-0.333124656,0.006577908
133,1,1,1008,2,10,-0.437865703,0.477925523,1.282355279,NA,NA,NA,-1.908308884,1,0.333333333,0,-1.503443263,-1.721966675,-1.176730834,-1.467380257,#VALUE!,-2.544110714,-2.544110714,-2.544110714,NA,NA,#VALUE!,17,66,1.746313963,-1.374782765
136,1,1,1010,2,9,-1.291996553,0.439501894,-1.729716732,NA,NA,NA,-2.285071368,5,0.666666667,0.5,-0.994460178,-1.519147276,-0.860128635,-1.124578696,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
153,1,1,1004,2,NA,-0.294652878,0.255157962,0.005632978,-1.144158331,-1.025324699,0.25779374,-0.526846441,14,4.333333333,1,0.150751764,0.711866119,-0.543526436,0.106363816,-0.162688885,NA,NA,NA,NA,9,3,21,62,1.39974086,-1.374782765
155,1,1,1015,2,9,0.983349079,-0.525823018,0.064917733,NA,NA,NA,-2.285071368,10,0,0,-0.358231322,-1.924786075,-1.176730834,-1.15324941,#VALUE!,-0.72597852,-0.752098465,-0.728516483,NA,NA,#VALUE!,22,40,-0.506411207,0.236804687
160,1,1,1013,1,11,0.862583569,-0.413988138,0.240875777,0.768319949,0.623482775,-0.292758645,-0.778021431,7,3,3.5,-0.739968635,-0.099411479,1.03948456,0.066701482,-1.004078594,NA,NA,NA,NA,10,1,NA,NA,NA,NA
169,1,1,1012,1,11,0.397592734,-0.095401632,-0.285346421,-0.607493508,-0.972137361,-1.669139608,-2.159483873,5,1.333333333,0.5,-0.994460178,-1.113508477,-0.860128635,-0.989365763,-4.817989244,0.675265502,1.239598485,0.951962241,NA,7,4,20,53,0.619951378,-0.684102429
180,1,1,1016,2,10,NA,NA,NA,NA,NA,NA,-2.285071368,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,3.092048766,2.826289103,2.808497333,NA,NA,#VALUE!,19,40,-0.506411207,1.848392139
339,1,1,1021,2,9,0.888202816,-0.407443592,0.717070552,NA,NA,NA,-2.285071368,1,0,0,-1.503443263,-1.924786075,-1.176730834,-1.534986724,#VALUE!,0.140359211,0.170359995,0.156011704,NA,NA,#VALUE!,19,56,0.879881205,-1.374782765
393,1,1,1019,2,11,0.27162265,-0.284527807,-0.173968968,NA,NA,NA,-2.285071368,2,0,0.5,-1.376197492,-1.924786075,-0.860128635,-1.3870374,#VALUE!,1.187163312,1.188242117,1.182538248,NA,NA,#VALUE!,22,53,0.619951378,-1.144555986
395,1,1,1020,1,7,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,52,0.533308102,0.697258245
507,1,1,1022,1,12,-0.355705532,-0.327830311,-1.275086722,-1.153915874,-1.207681286,-1.256225319,0.352266023,6,4,0,-0.867214407,0.509046719,-1.176730834,-0.51163284,-1.415592136,1.964662126,1.78641193,1.863338424,NA,10,2,20,16,-2.585849826,2.078618918
508,1,1,1023,2,11,-0.635161329,1.166391739,0.180634899,NA,NA,NA,-0.778021431,2,0,1.5,-1.376197492,-1.924786075,-0.226924236,-1.175969268,#VALUE!,0.498383405,0.170359995,0.335500419,NA,10,1,20,16,-2.585849826,2.078618918
509,1,1,1024,1,10,-1.047696454,1.238106261,0.527407885,NA,NA,NA,-2.159483873,3,4,0,-1.248951721,0.509046719,-1.176730834,-0.638878612,#VALUE!,NA,NA,NA,NA,9,1,19,23,-1.979346895,1.848392139
510,1,1,1025,1,9,1.887770685,0.33230297,-0.093549525,NA,NA,NA,NA,3,0,0,-1.248951721,-1.924786075,-1.176730834,-1.45015621,#VALUE!,1.876184254,1.83523533,1.855772281,NA,NA,#VALUE!,20,16,-2.585849826,2.078618918
511,1,1,1026,2,7,1.49097584,0.020172925,-1.008606612,NA,NA,NA,NA,8,0,0,-0.612722864,-1.924786075,-1.176730834,-1.238079924,#VALUE!,0.766466851,0.480662478,0.622266346,NA,NA,#VALUE!,20,16,-2.585849826,2.078618918
511,1,1,1026,2,7,-1.075506768,-0.218714736,2.07435976,NA,NA,NA,NA,8,0,0,-0.612722864,-1.924786075,-1.176730834,-1.238079924,#VALUE!,0.766466851,0.480662478,0.622266346,NA,NA,#VALUE!,20,16,-2.585849826,2.078618918
629,1,1,1028,2,9,NA,NA,NA,NA,NA,NA,1.105790991,0,2.666666667,0,-1.630689034,-0.302230879,-1.176730834,-1.036550249,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
688,1,1,1029,1,7,-0.037146683,0.368360223,-0.55349285,NA,NA,NA,NA,1,0,0,-1.503443263,-1.924786075,-1.176730834,-1.534986724,#VALUE!,2.930296455,2.639153629,2.763849647,NA,NA,#VALUE!,16,42,-0.333124656,1.157711802
689,1,1,1030,2,7,0.001675498,0.009486578,0.773243274,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,0.308020728,-0.21986859,0.037155103,NA,NA,#VALUE!,23,44,-0.159838104,0.927485023
704,1,1,1027,2,10,NA,NA,NA,-0.949007486,-1.070913846,-1.549853258,-0.903608925,12,4,4.5,-0.103739779,0.509046719,1.672688959,0.6926653,-1.760796883,NA,NA,NA,NA,9,1,18,39,-0.593054483,0.236804687
758,1,1,1031,1,9,NA,NA,NA,NA,NA,NA,NA,6,0.333333333,0,-0.867214407,-1.721966675,-1.176730834,-1.255303972,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,16,49,0.273378275,-0.223648871
772,1,1,1035,1,10,NA,NA,NA,NA,NA,NA,NA,10,4.666666667,1.5,-0.358231322,0.914685518,-0.226924236,0.10984332,#VALUE!,-1.045344133,0.050024633,-0.407540716,NA,6,4,24,40,-0.506411207,-1.144555986
773,1,1,1036,1,8,-0.534980384,-0.780201448,1.66661788,NA,NA,NA,0.101091033,6,4,0,-0.867214407,0.509046719,-1.176730834,-0.51163284,#VALUE!,0,0.530650579,0.371149906,NA,5,3,19,24,-1.89270362,1.848392139
774,1,1,1032,2,12,0.161442352,0.388289064,-0.5582003,NA,NA,1.496536606,0.477853517,13,3.666666667,0,0.023505992,0.30622732,-1.176730834,-0.282332507,1.692057616,NA,NA,NA,NA,9,3,16,52,0.533308102,-1.144555986
781,1,1,1033,2,12,-1.902742841,-0.442084499,0.720966076,-0.334282325,-0.615022378,-0.85707484,0.729028507,23,6.333333333,2.5,1.295963705,1.928782516,0.406280162,1.210342128,1.082295795,0.314359858,0.691350805,0.491199272,NA,11,1,17,48,0.186734999,-0.45387565
782,1,1,1034,1,10,NA,NA,NA,-0.949007486,-1.070913846,-0.430396742,1.356965981,15,5,6.5,0.277997535,1.117504918,2.939097755,1.444866736,2.371435975,1.876184254,1.83523533,1.855772281,NA,8,2,18,43,-0.24648138,-0.684102429
851,1,1,1037,1,12,NA,NA,NA,-1.036825367,1.672033151,0.413783582,0.980203497,21,5,3.5,1.041472162,1.117504918,1.03948456,1.06615388,2.460140959,-0.383771164,0.140359211,-0.079509379,NA,8,4,22,43,-0.24648138,-0.684102429
863,1,1,1041,2,10,-0.490355018,-0.801374649,1.016542139,-0.461130374,-0.56183504,-0.393693249,-0.150083957,5,6.333333333,3,-0.994460178,1.928782516,0.722882361,0.552401566,0.00862436,1.265198172,1.054112201,1.157527216,NA,6,4,NA,NA,NA,NA
876,1,1,1051,1,12,1.393717161,-0.102650862,-0.909055045,-0.870947148,-0.835369921,-0.980949127,-0.903608925,7,5.333333333,0,-0.739968635,1.320324317,-1.176730834,-0.198791717,-2.083349769,2.872722037,2.092286888,2.431519543,NA,11,1,22,43,-0.24648138,-1.144555986
887,1,1,1038,1,12,-0.293451782,0.386101936,0.047899793,-0.402585121,-0.804977156,-0.476276107,0.101091033,8,4.333333333,0,-0.612722864,0.711866119,-1.176730834,-0.35919586,-0.734380934,NA,NA,NA,NA,9,3,22,51,0.446664826,-0.684102429
888,1,1,1039,1,10,-0.005725547,0.417708691,1.848907902,-0.861189606,-0.911351832,0.120155643,0.101091033,5,1.333333333,0,-0.994460178,-1.113508477,-1.176730834,-1.094899829,-0.873653153,NA,NA,NA,NA,10,0,19,47,0.100091723,0.927485023
902,1,1,1040,1,8,-0.859911981,-0.302518331,0.801065891,NA,NA,NA,-0.150083957,3,2.333333333,0,-1.248951721,-0.505050278,-1.176730834,-0.976910944,#VALUE!,NA,NA,NA,NA,7,1,NA,NA,NA,NA
905,1,1,1046,2,7,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,19,52,0.533308102,-1.835236323
915,1,1,1074,1,11,0.416467873,-0.198371072,-0.509640502,-0.753856642,-0.432665791,NA,-1.782721389,3,1,0,-1.248951721,-1.316327876,-1.176730834,-1.24733681,#VALUE!,NA,NA,NA,NA,8,3,19,50,0.36002155,-0.45387565
923,1,1,1048,1,9,0.960502697,-1.424756,-0.192202478,NA,NA,NA,NA,12,1.333333333,1,-0.103739779,-1.113508477,-0.543526436,-0.586924897,#VALUE!,0.929020727,0.954988382,0.940057872,NA,5,4,19,55,0.793237929,0.927485023
935,1,1,1044,2,9,-0.398312203,0.411409379,-2.121939387,NA,NA,NA,0.101091033,3,0,0,-1.248951721,-1.924786075,-1.176730834,-1.45015621,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,61,1.313097584,-1.605009544
940,1,1,1042,1,9,-1.026969251,-0.557884331,0.828830056,NA,NA,NA,NA,10,0,0.5,-0.358231322,-1.924786075,-0.860128635,-1.047715344,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,19,37,-0.766341035,-0.914329207
950,1,1,1045,1,11,0.510914864,-0.430160616,-0.118827834,NA,NA,NA,NA,10,3,3,-0.358231322,-0.099411479,0.722882361,0.088413187,#VALUE!,2.733006856,2.38020814,2.364631423,NA,7,4,22,43,-0.24648138,-0.223648871
952,1,1,1043,1,7,-0.777388555,1.642240771,1.708339695,NA,NA,NA,NA,3,0.333333333,1,-1.248951721,-1.721966675,-0.543526436,-1.17148161,#VALUE!,NA,NA,NA,NA,3,4,16,36,-0.85298431,0.236804687
968,1,1,1047,1,10,-1.247545761,-0.576895441,2.288996589,NA,NA,NA,NA,3,0,3.5,-1.248951721,-1.924786075,1.03948456,-0.711417745,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,12,50,0.36002155,NA
975,1,1,1050,1,12,0.234127633,1.740363426,-0.600650599,-1.153915874,-1.207681286,NA,1.608140971,12,3.666666667,2.5,-0.103739779,0.30622732,0.406280162,0.202922568,#VALUE!,2.563086282,1.994579087,2.255071885,NA,7,5,18,61,1.313097584,-1.144555986
977,1,1,1049,2,12,0.538501899,0.1821316,0.168274328,0.612199273,1.208543492,NA,0.352266023,13,2.333333333,3,0.023505992,-0.505050278,0.722882361,0.080446025,#VALUE!,1.112541868,0.804500131,0.955601534,NA,7,5,20,55,0.793237929,-2.065463102
1065,1,1,1066,2,10,2.296073401,-2.43558277,-1.010401801,NA,NA,NA,0.854616002,4,3,0,-1.121705949,-0.099411479,-1.176730834,-0.799282754,#VALUE!,1.067712988,1.151446346,1.088402582,NA,NA,#VALUE!,22,73,2.352816893,-2.52591666
1083,1,1,1055,1,8,NA,NA,NA,-0.783129268,-0.949342788,-0.659793569,1.231378486,8,5,0,-0.612722864,1.117504918,-1.176730834,-0.223982927,0.34760199,NA,NA,NA,NA,5,3,13,42,-0.333124656,0.006577908
1089,1,1,1052,2,9,-1.422254206,1.658533804,0.894568893,-0.744099099,-0.918950023,-0.402869122,-0.526846441,6,2.333333333,0,-0.867214407,-0.505050278,-1.176730834,-0.849665173,-1.779380736,1.94114428,1.475321582,1.651890419,NA,6,3,24,53,0.619951378,0.236804687
1107,1,1,1056,2,11,0.406163159,-1.306100815,0.701645175,-0.324524783,-0.637816951,0.014633103,-0.526846441,20,4.333333333,2.5,0.914226391,0.711866119,0.406280162,0.677457557,0.165244219,NA,NA,NA,NA,7,4,24,46,0.013448447,-0.684102429
1116,1,1,1053,2,11,-1.1059987,-0.047091083,0.411137024,NA,NA,NA,-1.782721389,17,0,0.5,0.532489077,-1.924786075,-0.860128635,-0.750808544,#VALUE!,1.575107823,1.784319455,1.64018475,NA,NA,#VALUE!,15,58,1.053167757,-0.914329207
1117,1,1,1054,2,9,NA,NA,NA,NA,NA,NA,-0.275671451,2,1.666666667,0,-1.376197492,-0.910689077,-1.176730834,-1.154539134,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,54,0.706594654,-0.684102429
1121,1,1,1060,2,9,NA,NA,NA,NA,NA,0.395431836,-0.526846441,2,1.333333333,0,-1.376197492,-1.113508477,-1.176730834,-1.222145601,-1.353560206,0.318639364,-0.776421761,-0.197099084,NA,9,0,16,54,0.706594654,0.236804687
1126,1,1,1061,2,10,0.188987634,0.341637291,0.492575159,NA,NA,-0.912130079,-0.778021431,5,2.666666667,2.5,-0.994460178,-0.302230879,0.406280162,-0.296803632,-1.986955142,1.994579087,2.087505736,1.94410991,NA,8,2,20,42,-0.333124656,0.236804687
1129,1,1,1058,1,10,-0.010214661,0.893258529,1.161134125,NA,NA,NA,NA,5,1.666666667,1,-0.994460178,-0.910689077,-0.543526436,-0.81622523,#VALUE!,1.820047203,1.247192279,1.507803714,NA,NA,#VALUE!,18,40,-0.506411207,-0.684102429
1135,1,1,1059,2,9,-1.541274459,0.780810329,-1.01226387,NA,NA,NA,0.980203497,9,3,0,-0.485477093,-0.099411479,-1.176730834,-0.587206469,#VALUE!,-1.287680609,-1.731219629,-1.467060869,NA,NA,#VALUE!,20,57,0.966524481,-2.52591666
